Category,Record Holder,School,Year,Value,Gender,Sport,Season,Status 
Kills/Game,Jenaisya Moore,Northwest,2018,14,Female,Volleyball,Fall,sf
Assists/Game,Lauren Locklear,Liberty,2004,17,Female,Volleyball,Fall,sf
Assists/Game,Megan Frye,Francis Scott Key,2009,17,Female,Volleyball,Fall,sf
Aces/Game,Taylor Belella,Smithsburg,2009,11,Female,Volleyball,Fall,sf
Blocks/Game,Erin Mason,Gaithersburg,2005,4,Female,Volleyball,Fall,f
Blocks/Game,Cara Lewis,Bowie,2016,4,Female,Volleyball,Fall,sf
Blocks/Game,Morgan Lowrey,Northwest,2018,4,Female,Volleyball,Fall,f
Kills/Match,Alex Holston,Sherwood,2012,42,Female,Volleyball,Fall,sf
Assists/Match,Emily Bartlett,Westminster,2018,50,Female,Volleyball,Fall,sf
Aces/Match,Hailey Jones,Perryville,2017,14,Female,Volleyball,Fall,sf
Blocks/Match,Mary Smith,Severna Park,2014,8,Female,Volleyball,Fall,sf
Service Points/Game,Annie Sekerak,Poolesville,2005,13,Female,Volleyball,Fall,sf
Service Points/Game,Danielle Hudson,Smithsburg,2010,13,Female,Volleyball,Fall,sf
Service Points/Match,Taylor Belella,Smithsburg,2009,23,Female,Volleyball,Fall,sf
Service Percentage/Match 1:00 (25+ attempts),Staci Grabill,Williamsport,2003,28/28,Female,Volleyball,Fall,f
Service Percentage/Match 1:00 (25+ attempts),Julie Hollrah,Glenelg,2005,26/26,Female,Volleyball,Fall,f
Kill Efficiency,Inge Rasmussen,Poolesville,2005,0.684,Female,Volleyball,Fall,sf
Kills/Match,Alex Holston,Sherwood,2012,67,Female,Volleyball,Fall,ch
Assists,Kristina Swan,Centennial,2006,90,Female,Volleyball,Fall,f & sf
Aces,Taylor Belella,Smithsburg,2009,14,Female,Volleyball,Fall,f & sf
Aces,Payton Belella,Smithsburg,2014,14,Female,Volleyball,Fall,f & sf
Blocks,Morgan Lowrey,Northwest,2018,14,Female,Volleyball,Fall,f & sf
Service Points,Shkala Karzai,Glenelg,2003,34,Female,Volleyball,Fall,f & sf
Service Percentage,Stephanie Sims,Glenelg,2003,1,Female,Volleyball,Fall,f & sf
Service Percentage,Julie Hollrah,Glenelg,2005,1,Female,Volleyball,Fall,f & sf
Kill Efficiency,Jenaisya Moore,Northwest,2017,0.432,Female,Volleyball,Fall,f & sf
