sport,gender,season,school,year,status
Swimming,Girls,Winter,Bethesda-Chevy Chase,2020,Champion
Swimming,Girls,Winter,Bethesda-Chevy Chase,2019,Finalist
Swimming,Girls,Winter,Montgomery Blair,2018,Champion
Swimming,Girls,Winter,Winston Churchill,2015,Champion
Swimming,Girls,Winter,Winston Churchill,2014,Finalist
Swimming,Girls,Winter,Damascus,2022,Champion
Swimming,Girls,Winter,Damascus,2024,Finalist
Swimming,Girls,Winter,Easton,2023,Champion
Swimming,Girls,Winter,Easton,2015,Finalist
Swimming,Girls,Winter,Easton,2016,Finalist
Swimming,Girls,Winter,Easton,2017,Finalist
Swimming,Girls,Winter,Easton,2018,Finalist
Swimming,Girls,Winter,Frederick,2010,Champion
Swimming,Girls,Winter,Frederick,2011,Champion
Swimming,Girls,Winter,Frederick,2008,Finalist
Swimming,Girls,Winter,Frederick,2009,Finalist
Swimming,Girls,Winter,Walter Johnson,2017,Champion
Swimming,Girls,Winter,Walter Johnson,2022,Champion
Swimming,Girls,Winter,Walter Johnson,2023,Champion
Swimming,Girls,Winter,Walter Johnson,2016,Finalist
Swimming,Girls,Winter,Walter Johnson,2020,Finalist
Swimming,Girls,Winter,Walter Johnson,2024,Finalist
Swimming,Girls,Winter,Middletown,2008,Champion
Swimming,Girls,Winter,Middletown,2007,Finalist
Swimming,Girls,Winter,Middletown,2010,Finalist
Swimming,Girls,Winter,Middletown,2011,Finalist
Swimming,Girls,Winter,Northern (Cal),2024,Champion
Swimming,Girls,Winter,Poolesville,2013,Champion
Swimming,Girls,Winter,Poolesville,2015,Champion
Swimming,Girls,Winter,Poolesville,2016,Champion
Swimming,Girls,Winter,Poolesville,2017,Champion
Swimming,Girls,Winter,Poolesville,2018,Champion
Swimming,Girls,Winter,Poolesville,2019,Champion
Swimming,Girls,Winter,Poolesville,2020,Champion
Swimming,Girls,Winter,Poolesville,2012,Finalist
Swimming,Girls,Winter,Poolesville,2014,Finalist
Swimming,Girls,Winter,Poolesville,2022,Finalist
Swimming,Girls,Winter,Poolesville,2023,Finalist
Swimming,Girls,Winter,Queen Anne's,2009,Champion
Swimming,Girls,Winter,Eleanor Roosevelt,2008,Champion
Swimming,Girls,Winter,Eleanor Roosevelt,2007,Finalist
Swimming,Girls,Winter,Severna Park,2007,Champion
Swimming,Girls,Winter,Severna Park,2009,Champion
Swimming,Girls,Winter,Severna Park,2010,Champion
Swimming,Girls,Winter,Severna Park,2008,Finalist
Swimming,Girls,Winter,Severna Park,2011,Finalist
Swimming,Girls,Winter,Sherwood,2016,Champion
Swimming,Girls,Winter,Sherwood,2018,Champion
Swimming,Girls,Winter,Sherwood,2019,Champion
Swimming,Girls,Winter,Sherwood,2013,Finalist
Swimming,Girls,Winter,Sherwood,2015,Finalist
Swimming,Girls,Winter,Sherwood,2017,Finalist
Swimming,Girls,Winter,Urbana,2007,Champion
Swimming,Girls,Winter,Urbana,2011,Champion
Swimming,Girls,Winter,Urbana,2009,Finalist
Swimming,Girls,Winter,Urbana,2010,Finalist
Swimming,Girls,Winter,Richard Montgomery,2024,Champion
Swimming,Girls,Winter,Walt Whitman,2012,Champion
Swimming,Girls,Winter,Thomas Wootton,2013,Champion
Swimming,Girls,Winter,Thomas Wootton,2014,Champion
Swimming,Girls,Winter,Thomas Wootton,2012,Finalist
Swimming,Girls,Winter,C. Milton Wright,2012,Champion
Swimming,Girls,Winter,C. Milton Wright,2014,Champion
Swimming,Girls,Winter,C. Milton Wright,2013,Finalist
Swimming,Boys,Winter,Annapolis,2008,Finalist
Swimming,Boys,Winter,Montgomery Blair,2013,Finalist
Swimming,Boys,Winter,Brodneck,2008,Champion
Swimming,Boys,Winter,Brodneck,2009,Champion
Swimming,Boys,Winter,Brodneck,2011,Finalist
Swimming,Boys,Winter,Winston Churchill,2018,Champion
Swimming,Boys,Winter,Winston Churchill,2019,Champion
Swimming,Boys,Winter,Winston Churchill,2022,Champion
Swimming,Boys,Winter,Winston Churchill,2024,Champion
Swimming,Boys,Winter,Winston Churchill,2012,Finalist
Swimming,Boys,Winter,Winston Churchill,2016,Finalist
Swimming,Boys,Winter,Winston Churchill,2017,Finalist
Swimming,Boys,Winter,Winston Churchill,2020,Finalist
Swimming,Boys,Winter,Winston Churchill,2023,Finalist
Swimming,Boys,Winter,Damascus,2013,Finalist
Swimming,Boys,Winter,Damascus,2015,Champion
Swimming,Boys,Winter,Damascus,2019,Champion
Swimming,Boys,Winter,Damascus,2020,Champion
Swimming,Boys,Winter,Gov. Thomas Johnson,2007,Finalist
Swimming,Boys,Winter,Walter Johnson,2012,Champion
Swimming,Boys,Winter,Walter Johnson,2013,Champion
Swimming,Boys,Winter,Walter Johnson,2015,Champion
Swimming,Boys,Winter,Fallston,2007,Champion
Swimming,Boys,Winter,Fallston,2008,Champion
Swimming,Boys,Winter,Fallston,2009,Champion
Swimming,Boys,Winter,Fallston,2011,Champion
Swimming,Boys,Winter,Middletown,2007,Finalist
Swimming,Boys,Winter,Middletown,2017,Finalist
Swimming,Boys,Winter,Richard Montgomery,2014,Champion
Swimming,Boys,Winter,Richard Montgomery,2016,Champion
Swimming,Boys,Winter,Richard Montgomery,2017,Champion
Swimming,Boys,Winter,Richard Montgomery,2015,Finalist
Swimming,Boys,Winter,Richard Montgomery,2018,Finalist
Swimming,Boys,Winter,Richard Montgomery,2019,Finalist
Swimming,Boys,Winter,North Harford,2010,Finalist
Swimming,Boys,Winter,Patterson Mill,2018,Finalist
Swimming,Boys,Winter,Poolesville,2012,Champion
Swimming,Boys,Winter,Poolesville,2013,Champion
Swimming,Boys,Winter,Poolesville,2014,Champion
Swimming,Boys,Winter,Poolesville,2015,Champion
Swimming,Boys,Winter,Poolesville,2016,Champion
Swimming,Boys,Winter,Poolesville,2017,Champion
Swimming,Boys,Winter,Poolesville,2018,Champion
Swimming,Boys,Winter,Poolesville,2019,Champion
Swimming,Boys,Winter,Poolesville,2020,Champion
Swimming,Boys,Winter,Poolesville,2022,Champion
Swimming,Boys,Winter,Poolesville,2024,Champion
Swimming,Boys,Winter,Poolesville,2023,Finalist
Swimming,Boys,Winter,Queen Anne's,2014,Finalist
Swimming,Boys,Winter,Rockville,2023,Champion
Swimming,Boys,Winter,Rockville,2016,Finalist
Swimming,Boys,Winter,Rockville,2022,Finalist
Swimming,Boys,Winter,Rockville,2024,Finalist
Swimming,Boys,Winter,Severna Park,2010,Champion
Swimming,Boys,Winter,Severna Park,2011,Champion
Swimming,Boys,Winter,Severna Park,2009,Finalist
Swimming,Boys,Winter,South River,2010,Finalist
Swimming,Boys,Winter,Stephen Decatur,2011,Finalist
Swimming,Boys,Winter,Urbana,2007,Champion
Swimming,Boys,Winter,Urbana,2008,Finalist
Swimming,Boys,Winter,Walkersville,2010,Champion
Swimming,Boys,Winter,Walkersville,2009,Finalist
Swimming,Boys,Winter,Walt Whitman,2020,Champion
Swimming,Boys,Winter,Walt Whitman,2023,Champion
Swimming,Boys,Winter,Walt Whitman,2022,Finalist
Swimming,Boys,Winter,Thomas Wootton,2014,Finalist
Swimming,Boys,Winter,Thomas Wootton,2024,Finalist
Swimming,Boys,Winter,C. Milton Wright,2012,Finalist
